start_time,end_time,start_balance,end_balance,real_pnl,tracked_pnl,pnl_drift,trades,wins,losses,win_rate,avg_entry_price,avg_edge,avg_delta
2026-05-06 19:49:33,2026-05-07 11:49:57,100.0,4294.71,4194.71,2109.85,2084.85,144,126,18,87.5,0.3261,0.3261,0.0674
2026-05-07 11:55:42,2026-05-07 23:35:09,100.0,3474.95,3374.95,1687.47,1687.47,108,97,11,89.8,0.3333,0.3333,0.0799
2026-05-08 00:02:33,2026-05-08 04:39:05,23.68,174.11,150.43,77.72,72.72,26,23,3,88.5,0.4066,0.4066,0.0761
2026-05-08 04:44:23,2026-05-08 05:06:06,23.68,45.41,21.73,10.87,10.87,3,3,0,100.0,0.3065,0.3065,0.0686
2026-05-08 05:15:34,2026-05-08 05:27:17,23.68,23.68,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-08 05:27:30,2026-05-08 13:49:06,23.68,115.92,92.24,46.12,46.12,63,51,12,81.0,0.1816,0.1816,0.0917
2026-05-08 13:50:10,2026-05-08 14:23:59,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-08 14:24:21,2026-05-08 15:03:13,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-08 15:29:38,2026-05-08 15:56:38,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-08 15:56:52,2026-05-08 16:31:10,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
