timestamp,window_ts,window_time,btc_price,opening_price,btc_delta_pct,up_price,down_price,seconds_remaining,side,true_prob,market_price,edge,kelly_size,action,skip_reason,actual_price,actual_edge,fill_price,slippage
1778111400.03266,1778111100,19:45,81357.03,81350.31,0.0083,0.513,0.487,0.1,,0.0,0.0,0.0,0.0,no_signal,delta_too_small,0.0,0.0,0.0,0.0
1778111583.2882354,1778111400,19:50,81408.28,81357.03,0.063,0.5,0.5,116.7,UP,0.8,0.559,0.241,13.66,traded,,0.55,0.25,0.55,-0.009
1778112000.0210514,1778111700,19:55,81447.01,81440.71,0.0077,0.512,0.488,0.1,,0.0,0.0,0.0,0.0,no_signal,delta_too_small,0.0,0.0,0.0,0.0
1778112300.0811644,1778112000,20:00,81434.52,81447.01,-0.0153,0.476,0.524,0.0,,0.0,0.0,0.0,0.0,no_signal,delta_too_small,0.0,0.0,0.0,0.0
1778112470.1330187,1778112300,20:05,81380.01,81434.52,-0.0669,0.5,0.5,129.9,DOWN,0.8017,0.558,0.2437,16.87,traded,,0.55,0.2517,0.55,-0.008
1778112739.3796823,1778112600,20:10,81487.66,81419.07,0.0842,0.5,0.5,160.6,UP,0.8313,0.558,0.2733,23.18,traded,,0.55,0.2813,0.55,-0.008
1778113030.2342405,1778112900,20:15,81371.52,81426.59,-0.0676,0.5,0.5,169.8,DOWN,0.933,0.545,0.388,25.0,traded,,0.55,0.383,0.55,0.005
1778113260.0634205,1778113200,20:20,81343.43,81405.65,-0.0764,0.5,0.5,239.9,DOWN,0.9228,0.523,0.3998,25.0,traded,,0.55,0.3728,0.55,0.027
1778113759.945699,1778113500,20:25,81237.08,81286.0,-0.0602,0.5,0.5,40.1,DOWN,0.99,0.58,0.41,25.0,traded,,0.55,0.44,0.55,-0.03
1778113965.0710225,1778113800,20:30,81174.01,81227.27,-0.0656,0.5,0.5,134.9,DOWN,0.9484,0.555,0.3934,25.0,traded,,0.55,0.3984,0.55,-0.005
