timestamp,window_ts,window_time,trade_id,side,entry_price,entry_shares,entry_cost,edge_at_entry,prob_at_entry,btc_delta_at_entry,seconds_remaining_at_entry,entry_delta_pct,entry_seconds_remaining,entry_latency_ms,max_prob_during_hold,min_prob_during_hold,max_sell_price_seen,min_sell_price_seen,exit_type,exit_price,exit_shares_sold,exit_revenue,residual_shares,residual_value,exit_latency_ms,btc_final_price,btc_final_delta_pct,won_resolution,resolution_payout,resolution_method,claim_result,profit,return_pct,profit_if_held
1778111583.2895443,1778111400,19:50,1,UP,0.55,24.8,13.66,0.241,0.8,0.063,116.7,0.063,116.7,0.0,0.99,0.8,0.99,0.8,resolution,0.0,0.0,0.0,24.8,0.0,0,81440.71,0.1029,True,24.8,binance_fallback,not_attempted,11.18,81.82,11.14
1778112470.1347637,1778112300,20:05,2,DOWN,0.55,30.7,16.87,0.2437,0.8017,-0.0669,129.9,-0.0669,129.9,0.0,0.8017,0.01,0.45,0.01,resolution,0.0,0.0,0.0,30.7,0.0,0,81419.07,-0.019,True,30.7,binance_fallback,not_attempted,13.8,81.82,13.83
1778112739.3813462,1778112600,20:10,3,UP,0.55,42.1,23.18,0.2733,0.8313,0.0842,160.6,0.0842,160.6,0.0,0.9088,0.6137,0.91,0.61,resolution,0.0,0.0,0.0,42.1,0.0,0,81426.59,0.0092,True,42.1,binance_fallback,not_attempted,18.97,81.82,18.92
1778113030.2359319,1778112900,20:15,4,DOWN,0.55,45.5,25.0,0.388,0.933,-0.0676,169.8,-0.0676,169.8,0.0,0.933,0.01,0.22,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81405.65,-0.0257,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778113260.0640562,1778113200,20:20,5,DOWN,0.55,45.5,25.0,0.3998,0.9228,-0.0764,239.9,-0.0764,239.9,0.0,0.9228,0.01,0.24,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81286.0,-0.147,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778113759.9465623,1778113500,20:25,6,DOWN,0.55,45.5,25.0,0.41,0.99,-0.0602,40.1,-0.0602,40.1,0.0,0.99,0.01,0.08,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81227.27,-0.0723,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778113965.0725126,1778113800,20:30,7,DOWN,0.55,45.5,25.0,0.3934,0.9484,-0.0656,134.9,-0.0656,134.9,0.0,0.9484,0.01,0.39,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81172.43,-0.0675,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778114211.6137505,1778114100,20:35,8,DOWN,0.55,45.5,25.0,0.3638,0.8978,-0.0603,188.4,-0.0603,188.4,0.0,0.8978,0.01,0.34,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81120.0,-0.0646,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778114460.0168707,1778114400,20:40,9,DOWN,0.55,45.5,25.0,0.3998,0.9228,-0.0764,240.0,-0.0764,240.0,0.0,0.9228,0.01,0.42,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81027.98,-0.1134,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778114906.530102,1778114700,20:45,10,UP,0.55,45.5,25.0,0.4045,0.9715,0.0637,93.5,0.0637,93.5,0.0,0.99,0.8295,0.99,0.83,resolution,0.0,0.0,0.0,45.5,0.0,0,81108.01,0.0988,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778115089.2048302,1778115000,20:50,11,DOWN,0.55,45.5,25.0,0.3619,0.8899,-0.0617,210.8,-0.0617,210.8,0.0,0.8899,0.01,0.34,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81022.92,-0.1049,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778115360.0868425,1778115300,20:55,12,UP,0.55,45.5,25.0,0.4288,0.9558,0.0914,239.9,0.0914,239.9,0.0,0.9558,0.5069,0.83,0.51,resolution,0.0,0.0,0.0,45.5,0.0,0,81016.96,-0.0074,False,0.0,binance_fallback,not_attempted,-25.0,-100.0,-25.0
1778115681.290559,1778115600,21:00,13,DOWN,0.55,45.5,25.0,0.3547,0.8797,-0.0601,218.7,-0.0601,218.7,0.0,0.8797,0.0591,0.5,0.06,resolution,0.0,0.0,0.0,45.5,0.0,0,81010.42,-0.0081,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
1778115973.243517,1778115900,21:05,14,DOWN,0.55,45.5,25.0,0.4121,0.9421,-0.082,226.8,-0.082,226.8,0.0,0.9421,0.01,0.49,0.01,resolution,0.0,0.0,0.0,45.5,0.0,0,81058.0,0.0587,False,0.0,binance_fallback,not_attempted,-25.0,-100.0,-25.0
1778116260.0179436,1778116200,21:10,15,UP,0.55,45.5,25.0,0.4317,0.9597,0.0938,240.0,0.0938,240.0,0.0,0.99,0.5399,0.99,0.54,resolution,0.0,0.0,0.0,45.5,0.0,0,81151.53,0.1154,True,45.5,binance_fallback,not_attempted,20.45,81.82,20.5
